CourseName, StudentsNo ,Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,Q 31,Q 32,Q 33,Q 34
Course1,44,2.45455,2.67442,3.65909,2.56818,3.11364,2.97727,2.72727,2.97727,3.06818,2.90698,1.59091,2.45455,2.22727,1.72727,3.79545,2.20455,2.54545,2.45455,2.45455,2.20455,1.86364,1.93182,2.11364,1.65909,3.13636,2.52273,1.93182,1.63636, , , , , , 
Course10,29,3.75862,3.7931,3.65517,3.24138,3.58621,3.41379,3.41379,3.31034,3.37931,3.06897,3.17241,3.06897,3.37931,3.62069,3.68966,3.31034,3.03704,2.88889,2.88889,2.7037,2.73077,2.74074, , , , , , , , , , , , 
Course2,19,2.0,1.73684,2.21053,1.21053,2.47368,1.84211,1.68421,1.72222,1.84211,1.21053,1.27778,1.52632,1.36842,1.05263,2.26316,1.21053,1.15789,1.26316,1.42105,1.63158,1.42105,1.05263,1.28571,1.46154,2.0,1.78571,1.15385,1.28571,2.5,3.2,3.2,3.2,2.2,2.0
Course3,61,3.34426,3.31148,3.34426,3.0,3.42623,3.08197,3.03279,3.43333,3.27869,2.96721,2.85,2.78689,2.70492,2.47541,3.39344,2.85246,2.85714,2.82143,2.66071,2.58929,2.71429,2.48214,3.54545,3.36364,3.27273,3.72727,3.27273,3.36364,2.5,1.5,2.0,3.5,2.5,2.0
Course4,50,1.86,1.52,.98,1.46,2.92,2.28,2.1,2.12,2.26,1.5,1.24,1.34,1.34,1.2,3.08,1.34,1.7234,1.44681,1.57447,1.47826,1.3617,1.36957,2.3125,1.95833,2.875,3.29787,2.44681,1.95833, , , , , , 
Course5,50,3.02041,3.02041,3.625,2.30612,2.41667,2.7551,2.44898,2.36735,2.63265,2.5102,2.89796,1.77551,2.4898,1.97959,3.42857,2.04082,2.22222,2.0,1.95556,1.57778,2.08889,1.93333,1.52083,1.52083,2.41667,1.79167,1.55102,1.22449,1.0,1.0,2.0,2.0,1.0, 
Course6,39,3.66667,3.66667,3.41026,3.35897,3.69231,3.52632,3.53846,3.44737,3.4359,3.25641,3.05128,2.5641,3.02564,3.30769,3.64103,3.28205,3.32432,3.10811,3.16216,2.61111,3.0,2.75,2.8,3.0,2.6,2.6,2.6,2.4, , , , , , 
Course7,40,3.175,3.0,2.84211,2.7,3.3,2.975,2.82051,2.92308,3.125,2.525,2.425,2.45,2.95,2.425,3.375,2.575,2.76316,2.57895,2.47368,2.10526,2.5,2.63158, , , , , , , , , , , , 
Course8,34,3.26471,3.32353,3.48485,3.55882,3.67647,3.52941,3.41176,3.61765,3.60606,3.58824,3.08824,3.02941,3.38235,3.38235,3.61765,3.5,3.42424,3.42424,3.27273,3.06061,3.24242,2.84375,2.5,2.33333,3.0,2.5,1.75,2.0,2.0,2.0,2.0,2.33333,1.66667,2.0
Course9,16,3.5,3.0625,3.0625,3.375,3.875,3.625,3.375,3.75,3.4375,3.5625,3.5625,3.1875,3.3125,3.3125,3.6875,3.1875,3.3125,3.625,3.5,2.875,3.375,3.25, , , , , , , , , , , , 
